library,title,year,imdb_id,imdb_rating,imdb_votes,rt_score,plex_rating,file,decision,reason,misidentified_hint
Animación 2D,Kirikú y la bruja,1998,,,,,9.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Kiriku y La Bruja (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La bella durmiente,1959,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Bella Durmiente (1959).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La bella y la bestia,1991,,,,,9.5,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Bella Y La Bestia (1991).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La canción del mar,2014,,,,,9.9,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Cancion Del Mar (2014).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La Cenicienta,1950,,,,,,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Cinderella (1950).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La dama y el vagabundo,1955,,,,,9.1,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Dama Y El Vagabundo (1955).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La espada mágica,1998,,,,,4.3,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/La espada magica (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La gran aventura de Winnie the Pooh,1997,,,,,3.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La gran aventura de Winnie the Pooh (1997).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La película de Tigger,2000,,,,,6.4,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La película de Tigger (2000).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El origen de la sirenita,2008,,,,,3.3,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El origen de la sirenita (2008).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La sirenita,1989,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Sirenita (1989).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La sirenita 2: Regreso al mar,2000,,,,,2.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La Sirenita 2 Regreso Al Mar (2000).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Leroy y Stitch,2006,,,,,4.3,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Leroy y Stitch La película (2006).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,La leyenda de Sleepy Hollow y el Señor Sapo,1949,,,,,8.9,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/La leyenda de Sleepy Hollow y el Señor Sapo (1949).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El libro de la selva,1967,,,,,,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El libro de la selva (1967).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Lilo y Stitch,2002,,,,,8.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Lilo y Stitch (2002).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Los rescatadores,1977,,,,,7.9,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Los Rescatadores (1977).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Los rescatadores en Cangurolandia,1990,,,,,8.5,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Los rescatadores en Cangurolandia (1990).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Merlín el encantador,1963,,,,,6.5,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Merlin El Encantador (1963).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Mulán,1998,,,,,9.1,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Mulan (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,"Nimh, el mundo secreto de la Sra. Brisby",1982,,,,,9.3,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Nimh - El mundo secreto de la señora Brisby (1982).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Nocturna,2007,,,,,,"/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Nocturna, Una aventura mágica (2007).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Oliver y su pandilla,1988,,,,,5.2,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Oliver y su pandilla (1988).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Patoaventuras: La película - El tesoro de la lámpara perdida,1990,,,,,6.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Patoaventuras La pelicula - El tesoro de la lampara perdida (1990).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Peter Pan,1953,,,,,7.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Peter Pan (1953).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Pinocho,1940,,,,,10.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Pinocho (1940).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Pocahontas,1995,,,,,5.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Pocahontas (1995).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Robot Dreams,2023,,,,,9.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Robot Dreams (2023).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Simbad: La leyenda de los siete mares,2003,,,,,4.4,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Simbad La Leyenda De Los Siete Mares (2003).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Spirit: El corcel indomable,2002,,,,,6.9,"/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Spirit, el corcel indomable (2002).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Taron y el caldero mágico,1985,,,,,5.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Taron Y El Caldero Magico (1985).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
